primary_fuel,total_capacity_mw,energy_generation_2017
Coal,1965541.00,9653451.969999995
Gas,1493050.68,6021909.550000015
Hydro,1052646.61,3540404.720000003
Nuclear,407911.76,2902412.319999999
Wind,263000.99,688982.8600000079
Oil,261878.81,500807.6800000004
Solar,188312.34,347580.3400000009
Biomass,34281.45,NULL
Waste,14748.71,8173.599999999974
Geothermal,12687.75,60095.69000000001
Cogeneration,4048.00,NULL
Other,3612.86,16527.460000000003
Petcoke,2424.58,NULL
Storage,1712.30,NULL
"Wave and Tidal",552.20,NULL
