country,primary_fuel,total_energy,sum(energy_gwh_2017),energy_share_2017
Afghanistan,Hydro,828.08,791.07,0.9553062506038064
Afghanistan,Solar,828.08,37.01,0.0446937493961936
Afghanistan,Gas,828.08,,
Albania,Hydro,4608.91,4608.91,1
Albania,Other,4608.91,,
Algeria,Solar,64568.810000000005,1157.6200000000001,0.017928470417837964
Algeria,Gas,64568.81000000001,63380.369999999995,0.9815942093403918
Algeria,Hydro,64568.80999999998,30.82,0.00047732024176998163
Angola,Oil,3054.59,389.82,0.12761778176449212
Angola,Hydro,3054.59,2664.7700000000004,0.872382218235508
Angola,Gas,3054.59,0,0
Antarctica,Oil,,,
Antarctica,Wind,,,
Argentina,Other,136799.65000000005,0,0
Argentina,Gas,136799.65000000017,73047.28999999998,0.5339727842870935
Argentina,Hydro,136799.65000000014,24434.53,0.17861544236407018
Argentina,Oil,136799.65000000026,5433.0199999999995,0.03971516008995629
Argentina,Nuclear,136799.65000000005,6212.98,0.04541663666537157
Argentina,Coal,136799.65000000005,25175.760000000002,0.1840338041800545
Argentina,Solar,136799.65000000005,1165.9399999999998,0.008522975022231411
Argentina,Wind,136799.65000000008,1330.1299999999999,0.00972319739122139
Armenia,Nuclear,15523.960000000001,2411.04,0.15531088717054153
Armenia,Gas,15523.960000000001,11677.88,0.7522487818829731
Armenia,Hydro,15523.960000000001,1435.0400000000002,0.09244033094648531
Australia,Solar,273897.25999999966,9405.45,0.0343393358516986
Australia,Wind,273897.2599999998,15009.939999999999,0.05480135142644366
Australia,Oil,273897.2599999998,2123.53,0.007753016587314535
Australia,Coal,273897.2599999998,164961.11,0.6022736773635491
Australia,Gas,273897.2599999988,55500.38000000001,0.20263211103316717
Australia,Hydro,273897.25999999954,26896.85000000001,0.09820050773782861
Australia,Waste,273897.2599999998,0,0
Australia,Biomass,273897.2599999998,,
Austria,Hydro,35468.54000000003,29034.120000000003,0.8185879655604651
Austria,Gas,35468.53999999999,6195.26,0.17466915751254497
Austria,Wind,35468.53999999999,239.16,0.006742876926989384
Azerbaijan,Gas,21753.100000000002,18282.61,0.8404599804165842
Azerbaijan,Oil,21753.100000000002,1260.9,0.05796415223577329
Azerbaijan,Hydro,21753.100000000002,2209.59,0.1015758673476424
Bahrain,Gas,49003.700000000004,48993.899999999994,0.9998000151009003
Bahrain,Solar,49003.7,9.76,0.00019916863420517227
Bahrain,Oil,49003.7,0.04,0.000000816264894283493
Bangladesh,Oil,67875.44999999997,8052.500000000003,0.11863641419688571
Bangladesh,Gas,67875.44999999997,57916.02,0.8532690391002936
Bangladesh,Coal,67875.44999999998,902.32,0.013293760851677598
Bangladesh,Solar,67875.44999999998,59.300000000000004,0.0008736590328314585
Bangladesh,Hydro,67875.44999999998,945.31,0.013927126818312072
Belarus,Gas,33965.11999999999,33619.52999999999,0.9898251500362726
Belarus,Solar,33965.11999999999,345.5900000000001,0.0101748499637275
Belgium,Oil,65435.46,41.88,0.0006400199524844787
Belgium,Gas,65435.459999999985,16070.919999999998,0.24559955718199278
Belgium,Biomass,65435.46,,
Belgium,Wind,65435.45999999999,2755.94,0.0421169194806608
Belgium,Hydro,65435.45999999999,4880.759999999999,0.07458891555129284
Belgium,Waste,65435.46000000001,374.8,0.005727781236656699
Belgium,Nuclear,65435.46,41142.5,0.6287493050404169
Belgium,Solar,65435.46,168.66,0.002577501556495515
Belgium,Coal,65435.46,,
Benin,Gas,102.42,70.87,0.6919546963483695
Benin,Oil,102.42,31.55,0.3080453036516305
Bhutan,Hydro,5144.700000000001,5144.700000000001,1
Bolivia,Gas,6795.419999999999,5486.8099999999995,0.8074276497994237
Bolivia,Hydro,6795.419999999999,1183.5000000000002,0.17416142048615102
Bolivia,Solar,6795.420000000001,125.11000000000001,0.018410929714425303
"Bosnia and Herzegovina",Hydro,17617.38,6903.210000000001,0.39184089802229394
"Bosnia and Herzegovina",Coal,17617.379999999997,10714.17,0.6081591019777062
Botswana,Coal,2987.96,2987.96,1
Brazil,Hydro,518866.87000000366,350682.3899999999,0.6758619797791241
Brazil,Oil,518866.87000000355,16360.689999999999,0.03153157571999131
Brazil,Biomass,518866.8700000031,,
Brazil,Gas,518866.86999999936,74396.61999999998,0.14338286813340015
Brazil,Wind,518866.87000000296,36686.79999999999,0.07070561279042499
Brazil,Nuclear,518866.87000000075,15189.419999999998,0.029274214404939703
Brazil,Coal,518866.87000000087,20900.199999999997,0.04028046731910242
Brazil,Waste,518866.8700000008,0,0
Brazil,Solar,518866.87000000087,4315.789999999999,0.008317721268270592
