country,2013_total,2014_total,2015_total,2016_total,2017_total,change_gwh,change_percentage
China,745110.7399999971,929531.060000002,907931.2699999993,1010182.3100000025,917560.3300000032,172449.59000000614,23.144155726436964
"United States of America",525078.5700000006,517386.5499999991,477773.80999999994,510795.3600000007,462060.9499999984,-63017.620000002265,-12.00156007128651
Canada,337020.5300000004,335675.25999999983,339658.2300000001,339260.13999999966,340355.5400000003,3335.009999999951,0.9895569269919394
Brazil,325380.0700000002,347809.99999999977,341015.6899999998,331898.8299999998,302481.54999999976,-22898.520000000426,-7.0374685210438415
India,232632.7300000003,207157.10999999993,225326.52999999977,187652.3400000001,203579.09999999974,-29053.630000000558,-12.489055172933112
Russia,160457.6699999999,131082.16999999995,146003.62999999998,156362.89000000004,125735.71,-34721.95999999989,-21.639327057410163
Norway,116510.66999999998,114899.33,115327.76000000001,114983.00999999994,115584.63000000003,-926.0399999999499,-0.7948113250056412
Venezuela,76985.26999999999,75067.03,75436.89,77304.45,74487.18000000001,-2498.089999999982,-3.2448934711795934
France,59024.48999999997,64974.4,72163.25999999998,62191.50000000003,72167.87999999998,13143.390000000007,22.26768922526906
Japan,84033.29999999994,68290.13000000003,105346.80999999994,83115.72999999997,68171.26,-15862.03999999995,-18.87589800709952
Turkey,45378.15,30917.589999999997,44756.860000000015,44972.43000000004,55249.05000000001,9870.900000000009,21.75253949312612
Sweden,45450.06000000001,51694.680000000015,50382.15000000002,45288.86,51988.06000000002,6538.000000000007,14.385019513725625
Mexico,54993.13000000001,48648.85,48631.55000000002,48621.19000000001,47664.41000000001,-7328.720000000001,-13.326610069294109
Spain,75071.61,72257.54999999996,48004.34999999998,73912.77000000003,47013.74000000001,-28057.869999999988,-37.37480786678211
Vietnam,66464.51000000002,65622.52000000002,57653.540000000015,65591.02999999998,46075.16,-20389.35000000002,-30.67704854816505
Germany,51259.82999999997,37150.770000000026,41918.72000000003,36607.470000000045,36764.24999999993,-14495.580000000045,-28.27863455653297
Australia,30591.160000000003,29850.810000000005,20742.650000000005,23639.170000000013,36302.29999999999,5711.139999999985,18.66924954790856
Switzerland,25434.929999999997,30578.869999999995,27609.469999999998,26948.340000000007,31991.309999999983,6556.3799999999865,25.777071137997968
Pakistan,30988.88,30939.24,30423.43,30006.93,31184.34,195.45999999999913,0.630742382428791
Chile,27486.070000000007,25733.549999999996,30286.190000000017,25541.440000000002,29107.810000000005,1621.739999999998,5.900225095839447
Austria,31445.260000000013,37518.999999999985,28907.079999999987,31029.569999999992,29047.360000000004,-2397.9000000000087,-7.6256326072673835
"United Kingdom",33221.84999999996,25013.219999999983,34866.93000000004,28452.379999999957,28940.010000000013,-4281.839999999949,-12.888626009689268
Argentina,25208.5,28229.619999999995,34498.28999999999,31682.610000000008,25600.469999999994,391.9699999999939,1.5549120336394229
Iran,27211.309999999998,25659.679999999997,23337.71,26387.53,25110.21,-2101.0999999999985,-7.7214217176607765
Italy,34455.110000000015,40714.93000000002,37111.87999999997,47001.43999999998,23969.749999999993,-10485.360000000022,-30.43194463752987
Colombia,27977.64,28277.680000000004,26449.389999999996,26897.89,22614.649999999998,-5362.990000000002,-19.16884340494767
Tajikistan,14478.85,17310.050000000003,17069.079999999998,17102.83,17054.92,2576.069999999998,17.791951708871892
Portugal,21330.559999999976,19984.369999999977,16934.859999999993,21391.35,17031.65999999999,-4298.899999999987,-20.153713732785224
"New Zealand",18881.75,18439.07,15523.770000000002,15836.700000000003,16626.47,-2255.279999999999,-11.944231864101573
Ukraine,26157.459999999995,23145.16000000001,14351.750000000004,16535.930000000004,15400.560000000001,-10756.899999999994,-41.123641209811645
Romania,14815.780000000002,11487.469999999996,12443.380000000001,12778.400000000001,14535.990000000003,-279.78999999999905,-1.888459466865727
Indonesia,14517.199999999999,10676.280000000002,12878.43,14260.070000000002,14229.550000000007,-287.64999999999236,-1.9814427024494556
Ecuador,11045.710000000001,11145.920000000002,11103.58,10197.740000000002,13706.850000000002,2661.1400000000012,24.092068323358127
Ethiopia,14475.089999999998,11840.57,14506.349999999999,14376.490000000003,13464.51,-1010.5799999999981,-6.981510995786542
Taiwan,12449.380000000001,16578.03,16591.44,12646.490000000002,12874.26,424.8799999999992,3.412860720774843
Thailand,17170.23,17101.100000000002,12087.440000000008,11760.419999999996,11883.619999999999,-5286.610000000001,-30.78939536628222
Laos,8361.24,8170.529999999999,9741.099999999999,9800.169999999998,11765.41,3404.17,40.71369796824395
Philippines,8662.679999999998,10841.970000000001,8780.260000000004,9749.24,10505.240000000002,1842.5600000000031,21.270091934597648
Kyrgyzstan,7428.4400000000005,7357.91,9723.27,9753.58,10335.46,2907.0199999999986,39.1336539031075
Myanmar,11453.779999999997,8239.67,9669.15,11348.68,10271.82,-1181.9599999999973,-10.31938800989715
Peru,9955.650000000001,10001.130000000001,10070.560000000001,9642.63,10232.29,276.6399999999994,2.778723639340469
Zambia,10280.57,10280.289999999999,10060.97,10160.57,10088.559999999998,-192.01000000000204,-1.8676979972900534
Finland,9636.490000000002,10192.329999999994,8815.01,9103.650000000001,9898.41,261.91999999999825,2.718002094123464
