country,total_capacity_mw,2013_generation_gwh
China,1415067.38,745110.7399999971
"United States of America",1204638.05,525398.2500000006
India,316088.55,232632.7300000003
Russia,228220.05,173220.56999999992
Japan,215365.85,84033.29999999994
Brazil,147589.51,325380.0700000002
Canada,143578.70,337020.5300000004
Germany,112040.35,51259.82999999997
France,110558.22,59024.48999999997
"South Korea",99472.68,15484.209999999995
"United Kingdom",96699.32,33221.84999999996
"Saudi Arabia",84341.55,320.91999999999996
Spain,78998.29,75071.61
Italy,73095.06,34455.110000000015
Australia,65852.01,30591.160000000003
Mexico,62365.90,54993.13000000001
Iran,61362.10,27211.309999999998
Turkey,51444.70,45378.15
"South Africa",50422.70,6800.61
Indonesia,48751.42,14517.199999999999
Ukraine,48569.80,26157.459999999995
Vietnam,41350.49,66464.51000000002
Thailand,39654.30,17170.23
Poland,37902.00,8870.459999999997
Taiwan,37211.86,12449.380000000001
Egypt,34183.50,1743.52
Argentina,32913.12,25208.5
Norway,32551.00,117464.93999999999
Venezuela,31096.00,76985.26999999999
"United Arab Emirates",30327.00,1536.27
Malaysia,28794.50,5479.419999999999
Sweden,26418.70,45450.06000000001
Chile,22475.65,27486.070000000007
Pakistan,21455.00,30988.88
Philippines,20719.30,8662.679999999998
Kazakhstan,18628.00,5004.250000000001
Iraq,18160.60,7818.49
Kuwait,17829.50,16.66
Netherlands,16993.69,2873.55
"Czech Republic",16871.70,5695.800000000006
Algeria,15873.80,30.81
Portugal,14744.86,21330.559999999976
Israel,14665.80,399.39
Greece,14658.65,6234.840000000002
Romania,14646.90,14815.780000000002
Singapore,13660.00,NULL
Belgium,13404.80,4364.52
Switzerland,13118.00,25434.929999999997
Uzbekistan,12640.00,3905.6799999999994
Bangladesh,11840.00,884.7299999999999
