country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017
CHN,China,Three Gorges Dam,WRI1000452,22500,30.8235,111.0032,Hydro,,,,,82810.77
JPN,Japan,Kashiwazaki Kariwa,WRI1000679,8212,37.4259,138.5941,Nuclear,,,,,65600.32
CHN,China,Baihetan Dam,WRI1070877,13050,28.2606,103.6484,Hydro,48675.06,58470.77,57113.35,60859.73,58470.77
CHN,China,Xiluodu,WRI1000453,12600,28.26,103.65,Hydro,46996.61,56454.54,55143.92,58761.11,56454.54
PRY,Paraguay,Itaipu Binacional Dam (Paraguay part),WRI1022983,7000,-25.4081,-54.5889,Hydro,35230.22,34666.61,35230.22,,47320.15
VEN,Venezuela,Simon Bolivar (Guri),WRI1018677,8851,7.7659,-62.9982,Hydro,44579.67,43535.76,43535.76,44701.81,41176.73
TWN,Taiwan,Taizhong Taichung,WRI1000364,5500,24.2131,120.485,Coal,,,,,38890.93
RUS,Russia,Surgutskaya GRES-2,WRI1003821,8865,61.2794,73.4889,Gas,,,,,38888.43
KOR,South Korea,Yeongheung,WRI1000187,5080,37.2369,126.4361,Coal,,,,,38433.66
JPN,Japan,Ohi,WRI1000684,4710,35.5424,135.6544,Nuclear,,,,,37625.12
KOR,South Korea,Hanbit,WRI1000217,5900,35.4105,126.4175,Nuclear,,,,,37484.77
KOR,South Korea,Hanul,WRI1000218,5900,37.0931,129.383,Nuclear,,,,,37484.77
UKR,Ukraine,Zaporozhye,WRI1005114,6000,47.5119,34.5863,Nuclear,,,,,36992.5
JPN,Japan,Fukushima Daina,WRI1000678,4400,37.3164,141.0265,Nuclear,,,,,35148.73
CHN,China,East Hope Metals Wucaiwan power station,WRI1075600,7000,44.6885,89.1138,Coal,,,,,34108.83
USA,United States of America,Palo Verde,USA0006008,4209.6,33.3881,-112.8617,Nuclear,,,,,33395.96
FRA,France,GRAVELINES,WRI1002735,5460,51.0141,2.1332,Nuclear,,,,,33014.17
CHN,China,Datang Tuoketuo power station,WRI1070659,6720,40.1947,111.3589,Coal,,,,,32744.48
CAN,Canada,Robert-Bourassa,CAN0002223,5616,53.7818,-77.5305,Hydro,33056.17,32892.49,33258.5,32982.61,32690.16
FRA,France,PALUEL,WRI1002752,5320,49.8582,0.6354,Nuclear,,,,,32167.66
FRA,France,CATTENOM,WRI1002703,5200,49.416,6.2169,Nuclear,,,,,31442.07
BRA,Brazil,Itaipu (Parte Brasileira),BRA0001161,7000,-25.4269,-54.5931,Hydro,,33088.81,33119.47,33210.21,31363.63
CHN,China,Hongyanhe,WRI1061022,4183,39.8,121.48,Nuclear,,,,,30881.4
CHN,China,Qinshan 2,WRI1061025,4101,30.433,120.9501,Nuclear,,,,,30276.02
KOR,South Korea,Boryeong (poryang),WRI1000191,4000,36.402,126.49,Coal,,,,,30262.73
KOR,South Korea,Dangjin,WRI1000208,4000,37.0543,126.5133,Coal,,,,,30262.73
KOR,South Korea,Hadong,WRI1000202,4000,34.9512,127.8213,Coal,,,,,30262.73
KOR,South Korea,Taean,WRI1000196,4000,36.904,126.233,Coal,,,,,30262.73
CHN,China,Ningde,WRI1061024,4072,27.0446,120.2855,Nuclear,,,,,30061.93
MYS,Malaysia,Manjung power station,WRI1000255,4180,4.1586,100.6423,Coal,,,,,29813.52
TWN,Taiwan,Mailao,WRI1000362,4200,23.8033,120.1902,Coal,,,,,29698.53
CHN,China,Fuqing,WRI1061021,4000,25.4426,119.444,Nuclear,,,,,29530.38
CHN,China,Yangjiang,WRI1061027,4000,21.71,112.26,Nuclear,,,,,29530.38
IDN,Indonesia,PLTU Paiton I Unit 7 & 8,WRI1000941,5355,-7.7184,113.5827,Coal,,,,,29141.78
CHN,China,Ling Ao,WRI1061023,3914,22.6,114.55,Nuclear,,,,,28895.48
JPN,Japan,Hamaoka,WRI1000680,3617,34.6235,138.1421,Nuclear,,,,,28893.86
CHN,China,Xiangjiaba,WRI1000454,6448,28.6437,104.393,Hydro,24050.32,28890.38,28219.68,30070.76,28890.38
RUS,Russia,Balakovo NPP,WRI1023915,4000,52.0928,47.9539,Nuclear,,,,,28565.42
RUS,Russia,Kalinn NPP,WRI1003717,4000,57.905,35.0614,Nuclear,,,,,28565.42
RUS,Russia,Kursk,WRI1003744,4000,51.675,35.6056,Nuclear,,,,,28565.42
RUS,Russia,Leningrad NPP,WRI1003749,4000,59.8528,29.0486,Nuclear,,,,,28565.42
RUS,Russia,Rostov NPP,WRI1003791,4000,47.5993,42.3717,Nuclear,,,,,28565.42
SWE,Sweden,Ringhals,WRI1002097,3932,57.2574,12.1087,Nuclear,,,,,27971.48
JPN,Japan,Genkai,WRI1000687,3478,33.5152,129.836,Nuclear,,,,,27783.47
USA,United States of America,Browns Ferry,USA0000046,3494,34.7042,-87.1189,Nuclear,,,,,27718.9
JPN,Japan,Takahama,WRI1000683,3392,35.5223,135.5036,Nuclear,,,,,27096.48
JPN,Japan,Hekinan power station,WRI1000637,4100,34.8352,136.9609,Coal,,,,,26937
USA,United States of America,Grand Coulee,USA0006163,6809,47.9575,-118.9773,Hydro,28430.08,28357.88,33342.94,28435.57,26111.69
SAU,Saudi Arabia,GHAZLAN,WRI1030653,4256,26.85,49.896,Gas,,,,,26070.14
CAN,Canada,Darlington,CAN0002043,3740,43.8697,-78.7239,Nuclear,,,,,26045.79
